"var","end_dap","lag_max","at_typ","at_hi","delta_eta_bandA","delta_eta_bandB","OR_bandA","OR_bandB"
"tmean",85,70,25.45,27.03,0.17364308669832,-0.297795437034545,1.18963089494903,0.742453202643327
"tmean",85,70,25.45,27.03,0.659551035991424,-0.0665410914308402,1.93392387724741,0.935624468918259
"tmean",85,70,25.45,27.03,1.1331233086031,-0.437067805126519,3.10534030558808,0.645927632720895
"tmean",85,70,25.45,27.03,0.821600391872065,-0.0356820287210721,2.27413643623323,0.964947070161449
"tmean",85,70,25.45,27.03,1.07267456432986,-0.221686975619814,2.92318730658187,0.801166109612807
"tmean",85,70,25.45,27.03,1.15953381440875,-0.741333781322554,3.18844652176446,0.47647797408946
"tmean",85,70,25.45,27.03,1.21436177083991,-0.121350787120347,3.36814373064751,0.885723204799236
"tmean",85,70,25.45,27.03,1.43949713684099,-0.171660678570377,4.2185739181219,0.842264923223069
"tmean",85,70,25.45,27.03,0.252508763995263,-0.964755986657215,1.28725077756508,0.381076176066722
"tmean",85,70,25.45,27.03,0.292536705636515,-0.0622929021076344,1.33982191467752,0.939607633425732
"tmean",85,70,25.45,27.03,1.30332625661804,0.0120688703174571,3.68152201098637,1.01214199300615
"tmean",85,70,25.45,27.03,0.143909158682228,-0.243702078218652,1.15477920209561,0.783721087068138
"tmean",85,70,25.45,27.03,0.847939853919939,-0.356148575929484,2.33483179919428,0.700368554595639
"tmean",85,70,25.45,27.03,0.409317139337384,-0.206571367896644,1.50578918975529,0.8133682110071
"tmean",85,70,25.45,27.03,0.531990137034953,-0.452971100510714,1.70231678339305,0.635736505821278
"tmean",85,70,25.45,27.03,0.510916964980293,0.404295539068892,1.66681890897673,1.49824667196005
"tmean",85,70,25.45,27.03,0.228054003533419,-0.136789386729041,1.25615316030984,0.872153893974378
"tmean",85,70,25.45,27.03,1.01609426509081,0.346497964829266,2.7623845250707,1.41410661587903
"tmean",85,70,25.45,27.03,-0.0480633022627515,0.0488138060314953,0.953073453461725,1.05002482424861
"tmean",85,70,25.45,27.03,0.236755024374152,-0.314676014108442,1.26713066362263,0.730025353874095
"tmean",85,70,25.45,27.03,0.438971545143455,-0.466259208306362,1.5511111501145,0.627344650025969
"tmean",85,70,25.45,27.03,0.314176173990275,0.42679695086891,1.36913092055906,1.53234148952548
"tmean",85,70,25.45,27.03,1.14911595812799,0.0806108077880227,3.15540216866544,1.08394894997341
"tmean",85,70,25.45,27.03,0.955985226833732,-0.0616858250478096,2.60123212455242,0.940178220842963
"tmean",85,70,25.45,27.03,0.798706601710123,-0.00578131052099442,2.22266427838969,0.994235369095848
"tmean",85,70,25.45,27.03,1.79674343027811,-0.51322676732703,6.02997840985891,0.59856104212695
"tmean",85,70,25.45,27.03,0.973012538592355,-0.639191716885506,2.64590335105748,0.527718797897984
"tmean",85,70,25.45,27.03,1.62642715052284,-0.473608560212842,5.08567187978225,0.62275097437223
"tmean",85,70,25.45,27.03,0.770141252679454,-0.26190569435919,2.16007134810244,0.769583596359728
"tmean",85,70,25.45,27.03,1.64719902283753,-0.644566223334979,5.19241560215126,0.524890177842335
"tmean",85,70,25.45,27.03,0.526507616612243,-0.411654072095699,1.69300933431562,0.662553432134361
"tmean",85,70,25.45,27.03,0.0370283211579779,-0.608213508327997,1.0377224099223,0.544322428460054
"tmean",85,70,25.45,27.03,0.678550048676993,-0.18649568283779,1.97101777949832,0.829862144593103
"tmean",85,70,25.45,27.03,0.418928707239514,0.118510706060508,1.520331962264,1.12581892712302
"tmean",85,70,25.45,27.03,0.748654737070006,-0.541895753646566,2.11415400971053,0.581644551752308
"tmean",85,70,25.45,27.03,0.685809197565789,-0.148603836045161,1.98537774854037,0.861910505145674
"tmean",85,70,25.45,27.03,1.9539978865292,-0.547364425904455,7.05684372101112,0.578472409935765
"tmean",85,70,25.45,27.03,0.804805965256893,0.18496076110193,2.23626254409194,1.20317122808825
"tmean",85,70,25.45,27.03,0.531659491271862,0.170560356843145,1.7017540126052,1.18596923113252
"tmean",85,70,25.45,27.03,1.27068694996018,-0.759597387862918,3.56329953025746,0.46785475309817
"tmean",85,70,25.45,27.03,0.556171887524321,-0.549045385078187,1.74398354027113,0.577500838246479
"tmean",85,70,25.45,27.03,0.845695023350943,-0.621772508851893,2.32959637591565,0.536991770871734
"tmean",85,70,25.45,27.03,0.298187807462274,-0.365245424534367,1.347414818676,0.694026298893311
"tmean",85,70,25.45,27.03,0.551347307692214,-0.358814046245032,1.73558981683104,0.698504228759803
"tmean",85,70,25.45,27.03,1.07683222812626,-0.231153054199876,2.9353662370217,0.793617990172791
"tmean",85,70,25.45,27.03,0.35960014040526,0.0321081339957531,1.4327563986121,1.03262916158546
"tmean",85,70,25.45,27.03,0.0456816291378293,0.456732775339641,1.04674110603407,1.57890690500889
"tmean",85,70,25.45,27.03,0.923966905541987,-0.340663987737468,2.51926427754624,0.711297872864229
"tmean",85,70,25.45,27.03,0.722811252509364,0.0210368197020978,2.06021686701278,1.02125965342148
"tmean",85,70,25.45,27.03,0.718821323932333,-0.278045930440109,2.05201312591404,0.757262039336817
"tmean",85,70,25.45,27.03,0.578186743116869,-0.589949686045218,1.78280281865646,0.554355175834095
"tmean",85,70,25.45,27.03,0.541952920129007,-0.496579510705401,1.71936136099552,0.60860884351757
"tmean",85,70,25.45,27.03,0.74476180434974,-0.289989404006591,2.1059397495454,0.748271496216402
"tmean",85,70,25.45,27.03,1.01830946336233,-0.163870174773439,2.76851053715654,0.848852217158398
"tmean",85,70,25.45,27.03,0.785255741955003,-0.0564262126632798,2.19296770287255,0.945136221006865
"tmean",85,70,25.45,27.03,0.98790696453167,-0.0541306091064478,2.68560751391105,0.947308371321595
"tmean",85,70,25.45,27.03,1.41351292647345,0.229908096968021,4.11036949724567,1.25848434608753
"tmean",85,70,25.45,27.03,-0.0128122441313211,-0.623724906676737,0.987269483259083,0.535944372108569
"tmean",85,70,25.45,27.03,0.121853359891375,0.0331027333679688,1.12958844666225,1.03365672482348
"tmean",85,70,25.45,27.03,1.28467013876408,-0.473964668350193,3.6134758150092,0.622529247164487
"tmean",85,70,25.45,27.03,-0.716884091557116,0.0507690869009575,0.48827129679097,1.05207992619594
"tmean",85,70,25.45,27.03,0.404395499526692,-0.778548539948739,1.49839644486884,0.459071852421886
"tmean",85,70,25.45,27.03,1.320244208582,0.00486345099782931,3.74433566452109,1.00487529677163
"tmean",85,70,25.45,27.03,0.771772697722377,0.191606763870857,2.16359826199649,1.21119413801186
"tmean",85,70,25.45,27.03,0.398310395807603,-0.0374508554885014,1.48930623258151,0.963241754603123
"tmean",85,70,25.45,27.03,1.0546962314217,-0.163921790713493,2.87110287058478,0.848808403983981
"tmean",85,70,25.45,27.03,1.03728860709937,0.0736848779230801,2.82155628574034,1.07646753335811
"tmean",85,70,25.45,27.03,0.51679897906451,-0.265409201611603,1.67665205226819,0.766892072288702
"tmean",85,70,25.45,27.03,1.00993287061244,0.0723985708870054,2.74541671068848,1.07508375576807
"tmean",85,70,25.45,27.03,0.341413366051269,0.256454894465566,1.40693469971743,1.29234047277733
"tmean",85,70,25.45,27.03,0.613911801523968,-0.405003184702936,1.84764490082777,0.666974686738849
"tmean",85,70,25.45,27.03,1.64296747466785,-0.458862623557125,5.17049006760809,0.632002061131155
"tmean",85,70,25.45,27.03,0.681195117689261,-0.135900031743345,1.9762381586374,0.872929893406612
