"var","end_dap","lag_max","metric","median","lo95","hi95"
"tmean",85,70,"OR_bandA",2.02386384029132,0.829288402416175,5.08592148043899
"tmean",85,70,"OR_bandB",0.830610634798761,0.432428284691993,1.72203477700982
"tmean",85,70,"delta_eta_bandA",0.705007646814904,-0.187187904917957,1.62647618160052
"tmean",85,70,"delta_eta_bandB",-0.185594550132643,-0.838338797031822,0.543506507845163
"vpd",85,70,"OR_bandA",1.02536314142383,0.398045915187863,2.57977258615349
"vpd",85,70,"OR_bandB",0.86679391129323,0.505503197314895,1.5301868714602
"vpd",85,70,"delta_eta_bandA",0.0250468337828417,-0.921189958207582,0.947687362135237
"vpd",85,70,"delta_eta_bandB",-0.14295408188594,-0.682216396796178,0.425387420946992
